video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-1-alert.mkv,alert,0,85,0.2887,0.081,0.0571,0.0021,0.006,0.0014,0.0667,0.0,0
video-1-alert.mkv,alert,0,86,0.2881,0.081,0.0568,0.0019,0.0053,0.0012,0.0667,0.0,0
video-1-alert.mkv,alert,0,87,0.2955,0.0822,0.0412,0.0018,0.0053,0.0011,0.0333,0.0,0
video-1-alert.mkv,alert,0,88,0.2804,0.0822,0.0582,0.0017,0.0043,0.0008,0.1,0.0,0
video-1-alert.mkv,alert,0,89,0.2788,0.0832,0.0575,0.0021,0.0049,0.0012,0.1,0.0,0
video-1-alert.mkv,alert,0,90,0.2803,0.0832,0.0581,0.0024,0.0049,0.0012,0.1,0.0,0
video-1-alert.mkv,alert,0,91,0.2811,0.0832,0.0584,0.0026,0.0049,0.0012,0.1,0.0,0
video-1-alert.mkv,alert,0,92,0.2799,0.0832,0.058,0.0027,0.0049,0.001,0.1,0.0,0
video-1-alert.mkv,alert,0,93,0.2832,0.0832,0.0599,0.0025,0.0049,0.0012,0.1,0.0,0
video-1-alert.mkv,alert,0,94,0.2949,0.0832,0.049,0.0024,0.0049,0.0013,0.0667,0.0,0
video-1-alert.mkv,alert,0,95,0.3051,0.1726,0.0295,0.002,0.0049,0.0011,0.0333,0.0,0
video-1-alert.mkv,alert,0,96,0.3041,0.1726,0.0307,0.0017,0.0049,0.001,0.0333,0.0,0
video-1-alert.mkv,alert,0,97,0.304,0.1726,0.031,0.0018,0.004,0.001,0.0333,0.0,0
video-1-alert.mkv,alert,0,98,0.3048,0.1726,0.0323,0.0019,0.004,0.001,0.0333,0.0,0
video-1-alert.mkv,alert,0,99,0.3024,0.1726,0.0309,0.0022,0.0045,0.0011,0.0333,0.0,0
video-1-alert.mkv,alert,0,100,0.3038,0.2506,0.017,0.0023,0.0045,0.0011,0.0,0.0,0
video-1-alert.mkv,alert,0,101,0.3014,0.2506,0.0169,0.0024,0.0045,0.0011,0.0,0.0,0
video-1-alert.mkv,alert,0,102,0.3012,0.2506,0.0144,0.0027,0.0045,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,103,0.3006,0.2506,0.0139,0.0026,0.0045,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,104,0.2987,0.2795,0.0109,0.0026,0.0045,0.001,0.0,0.0,0
video-1-alert.mkv,alert,0,105,0.2923,0.2691,0.0125,0.0026,0.0045,0.0009,0.0,0.0,0
video-1-alert.mkv,alert,0,106,0.2916,0.2691,0.0123,0.0025,0.0045,0.0009,0.0,0.0,0
video-1-alert.mkv,alert,0,107,0.2883,0.2247,0.0173,0.0024,0.004,0.0008,0.0,0.0,0
video-1-alert.mkv,alert,0,108,0.2828,0.1396,0.0315,0.0024,0.004,0.0008,0.0333,0.0,0
video-1-alert.mkv,alert,0,109,0.2837,0.1396,0.0319,0.0024,0.004,0.0008,0.0333,0.0,0
video-1-alert.mkv,alert,0,110,0.2762,0.1165,0.0446,0.0024,0.0041,0.001,0.0667,0.0,0
video-1-alert.mkv,alert,0,111,0.279,0.1165,0.0454,0.0024,0.0046,0.0011,0.0667,0.0,0
video-1-alert.mkv,alert,0,112,0.2826,0.1165,0.0484,0.0024,0.0046,0.0011,0.0667,0.0,0
video-1-alert.mkv,alert,0,113,0.2672,0.0915,0.0756,0.0027,0.0057,0.0014,0.1667,0.0333,0
video-1-alert.mkv,alert,0,114,0.2577,0.0881,0.0868,0.0029,0.0057,0.0015,0.2333,0.0333,0
video-1-alert.mkv,alert,0,115,0.2632,0.0881,0.0901,0.0031,0.0057,0.0015,0.2333,0.0333,0
video-1-alert.mkv,alert,0,116,0.2739,0.0881,0.0867,0.003,0.0057,0.0015,0.2,0.0333,0
video-1-alert.mkv,alert,0,117,0.2753,0.0881,0.0877,0.0027,0.0057,0.0015,0.2,0.0333,0
video-1-alert.mkv,alert,0,118,0.2704,0.0881,0.0855,0.0029,0.0057,0.0016,0.2,0.0333,0
video-2-alert.mkv,alert,0,0,0.3166,0.281,0.0292,0.0407,0.2484,0.0585,0.0,0.0,0
video-2-alert.mkv,alert,0,1,0.3128,0.0984,0.0497,0.0449,0.2484,0.0585,0.0333,0.0,0
video-2-alert.mkv,alert,0,2,0.3255,0.0984,0.0839,0.0548,0.2484,0.0572,0.0667,0.0,0
video-2-alert.mkv,alert,0,3,0.3513,0.0984,0.0998,0.0713,0.3091,0.0745,0.0667,0.0,0
